Letter;Path
waw-ar.fina;M444,981l20-20v-60h-45c0-207-80-318-193-318c-111,0-191,103-191,220c0,109,71,178,238,178h72c-15,111-67,151-167,151c-47,0-98-10-133-19v84c33,8,85,15,130,15c143,0,223-72,240-231ZM349,901h-75c-120,0-168-29-168-101c0-68,40-137,115-137c80,0,127,79,128,238Z
qaf-ar.fina;M597,464c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM465,464c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM696,981l20-20v-60h-38c-3-204-74-318-198-318c-105,0-188,102-188,217c0,113,74,181,205,181h107c-15,111-80,151-227,151c-171,0-247-72-247-200c0-45,5-90,16-139h-70c-11,49-16,100-16,139c0,184,100,280,317,280c180,0,277-75,297-231ZM608,901h-110c-84,0-135-29-135-101c0-68,42-137,112-137c83,0,129,79,133,238Z
qaf-ar;M593,464c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM461,464c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM678,912c0-211-73-329-202-329c-99,0-182,102-182,217c0,113,74,181,185,181c48,0,86-4,127-13c-12,120-77,164-229,164c-171,0-247-72-247-200c0-45,5-90,16-139h-70c-11,49-16,100-16,139c0,184,100,280,317,280c205,0,301-96,301-300ZM365,800c0-68,42-137,112-137c77,0,125,75,130,223c-44,11-78,15-127,15c-65,0-115-29-115-101Z
qaf-ar.medi;M354,404c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM222,404c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM-20,981h64c75,0,140-11,195-30c55,19,120,30,189,30h28l20-20v-60h-48c-29,0-59-2-86-5c56-44,86-103,86-170c0-109-79-203-188-203c-100,0-196,87-196,211c0,64,34,120,91,163c-27,3-58,4-91,4h-44l-20,20ZM114,729c0-63,47-126,122-126c37,0,67,14,89,41c22,27,33,58,33,92c0,67-34,115-110,140c-84-28-134-79-134-147Z
qaf-ar.init;M320,314c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM188,314c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM-20,981h150c212,0,274-34,274-249c0-187-76-299-201-299c-100,0-183,100-183,212c0,111,82,175,205,175c48,0,75-4,106-13c-11,91-56,94-201,94h-130l-20,20ZM91,645c0-75,48-132,112-132c79,0,127,78,131,213c-40,11-65,14-108,14c-76,0-135-27-135-95Z
reh-ar.fina;M322,981l20-20v-60c-65,0-106-32-115-104l-20-134h-68c15,80,22,149,22,237c0,145-59,232-158,232c-25,0-54-3-83-8v80c32,5,63,8,88,8c120,0,198-103,210-279c21,29,59,48,104,48Z
reh-ar;M231,900c0-103-12-195-25-272h-75c19,93,30,185,30,272c0,159-50,232-158,232c-25,0-54-3-83-8v80c32,5,63,8,88,8c152,0,223-99,223-312Z
seen-ar.fina;M693,990c68,0,107-33,118-101c16,64,66,101,127,101c72,0,111-34,122-103c16,60,68,94,147,94l20-20v-60c-77,0-116-36-116-115v-88h-70v88c0,77-36,124-93,124c-59,0-86-40-86-124v-53h-70v53c0,77-33,124-89,124c-53,0-86-26-99-102l-14-75h-71l16,86c7,39,9,72,9,101c0,117-66,172-207,172c-151,0-207-66-207-185c0-40,7-87,19-139h-70c-13,56-19,107-19,152c1,159,88,252,277,252c164,0,253-83,258-231c24,33,58,49,98,49Z
seen-ar;M694,990c72,0,111-34,122-102c17,65,73,102,144,102c96,0,153-63,153-198c0-37-4-82-12-130h-74c11,53,16,97,16,130c0,88-30,118-83,118c-52,0-93-39-93-124v-53h-70v53c0,77-36,124-93,124c-53,0-86-26-99-102l-14-75h-71l16,86c7,39,9,72,9,101c0,117-66,172-207,172c-151,0-207-67-207-184c-1-41,7-88,19-140h-70c-13,57-20,110-19,155c3,156,89,249,277,249c164,0,253-83,258-230c24,33,58,48,98,48Z
seen-ar.medi;M787,981l20-20v-60c-80,0-116-36-116-115v-88h-70v88c0,77-32,124-89,124c-49,0-90-39-90-124l-1-53h-70l1,53c0,85-38,124-90,124c-68,0-99-40-99-124l-1-53h-70l1,53c0,79-42,115-113,115l-20,20v60c88,0,138-30,151-95c15,65,65,104,141,104c65,0,107-34,118-102c16,65,67,102,131,102c63,0,106-33,118-104c17,60,68,95,148,95Z
